Type,Crop,Pest,Family,Genus
Herbicide,Corn,"WEEDS, ANNUAL",,
Herbicide,Soybeans,"WEEDS, ANNUAL",,
Herbicide,Corn,"WEEDS, PERENNIAL",,
Herbicide,Soybeans,"WEEDS, PERENNIAL",,
Herbicide,Corn,"WEEDS, TRIAZINE RESISTANT",,
Herbicide,Soybeans,"WEEDS, TRIAZINE RESISTANT",,
Herbicide,Corn,"WHEAT, VOLUNTEER",,
Herbicide,Soybeans,"WHEAT, VOLUNTEER",,
Herbicide,Corn,WHEATGRASS,,
Herbicide,Soybeans,WHEATGRASS,,
Herbicide,Corn,"WHEATGRASS, CRESTED",,
Herbicide,Soybeans,"WHEATGRASS, CRESTED",,
Herbicide,Soybeans,"WHEATGRASS, WESTERN",,
Herbicide,Corn,WHITETOP,,
Herbicide,Soybeans,WHITETOP,,
Herbicide,Corn,WILDRYE,,
Herbicide,Soybeans,WILDRYE,,
Herbicide,Corn,"WILDRYE, VIRGINIA",,
Herbicide,Corn,WILLOWHERB,,
Herbicide,Soybeans,WILLOWHERB,,
Herbicide,Corn,"WILLOWWEED, PANICLE",,
Herbicide,Soybeans,"WILLOWWEED, PANICLE",,
Herbicide,Corn,WINDGRASS,,
Herbicide,Soybeans,WINDGRASS,,
Herbicide,Corn,WINTER ANNUALS,,
Herbicide,Soybeans,WINTER ANNUALS,,
Herbicide,Corn,"WINTERCRESS, EARLY",,
Herbicide,Soybeans,"WINTERCRESS, EARLY",,
Herbicide,Corn,"WINTERGRASS, TEXAS",,
Herbicide,Soybeans,"WINTERGRASS, TEXAS",,
Herbicide,Corn,"WIREWEED, COMMON",,
Herbicide,Soybeans,"WIREWEED, COMMON",,
Herbicide,Corn,WITCHGRASS,,
Herbicide,Soybeans,WITCHGRASS,,
Herbicide,Corn,WITCHWEED,,
Herbicide,Soybeans,WITCHWEED,,
Herbicide,Corn,"WOAD, DYER'S",,
Herbicide,Soybeans,"WOAD, DYER'S",,
Herbicide,Corn,WOODY BRUSH,,
Herbicide,Soybeans,WOODY BRUSH,,
Herbicide,Corn,WORMWOOD,,
Herbicide,Soybeans,WORMWOOD,,
Herbicide,Soybeans,"WORMWOOD, BIENNIAL",,
Herbicide,Corn,"YAM, AIR",,
Herbicide,Soybeans,"YAM, AIR",,
Herbicide,Soybeans,YANKEEWEED,,
Herbicide,Corn,"YARROW, COMMON",,
Herbicide,Soybeans,"YARROW, COMMON",,
Herbicide,Corn,YUCCA,,
